# LiB3O5 / LBO (dispersive) -- principal refractive index
# source: C. Chen, Y. Wu, A. Jiang, B. Wu, G. You, R. Li, S. Lin. New nonlinear-optical crystal: LiB3O5. J. Opt. Soc. Am. B 6, 616-621 (1989); dispersion formula from F. Hanson and D. Dick, Opt. Lett. 16, 205-207 (1991).
# doi: 10.1364/JOSAB.6.000616   conditions: room temperature
# validity: 0.2894-1.064 um
# via refractiveindex.info database (CC0): LiB3O5/nk/Chen-alpha.yml, LiB3O5/nk/Chen-beta.yml, LiB3O5/nk/Chen-gamma.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 1.1e-06
wavelength_um,nx,ny,nz
0.5464,1.5779216,1.6057993,1.6204859
0.5474,1.5778708,1.6057337,1.6204247
0.5484,1.5778203,1.6056684,1.6203637
0.5494,1.5777701,1.6056034,1.6203031
0.5504,1.5777201,1.6055388,1.6202428
0.5514,1.5776704,1.6054744,1.6201829
0.5524,1.577621,1.6054104,1.6201232
0.5534,1.5775718,1.6053467,1.6200639
0.5544,1.5775229,1.6052833,1.6200048
0.5554,1.5774742,1.6052202,1.6199461
0.5564,1.5774258,1.6051575,1.6198877
0.5574,1.5773777,1.605095,1.6198295
0.5584,1.5773298,1.6050328,1.6197717
0.5594,1.5772821,1.604971,1.6197142
0.5604,1.5772347,1.6049094,1.6196569
0.5614,1.5771875,1.6048481,1.6196
0.5624,1.5771406,1.6047871,1.6195433
0.5634,1.5770939,1.6047265,1.6194869
0.5644,1.5770475,1.6046661,1.6194308
0.5654,1.5770012,1.604606,1.619375
0.5664,1.5769553,1.6045461,1.6193195
0.5674,1.5769095,1.6044866,1.6192642
0.5684,1.576864,1.6044274,1.6192092
0.5694,1.5768187,1.6043684,1.6191545
0.5704,1.5767737,1.6043097,1.6191
0.5714,1.5767288,1.6042513,1.6190459
0.5724,1.5766842,1.6041931,1.618992
0.5734,1.5766398,1.6041353,1.6189383
0.5744,1.5765956,1.6040777,1.6188849
0.5754,1.5765517,1.6040203,1.6188318
0.5764,1.5765079,1.6039633,1.6187789
0.5774,1.5764644,1.6039065,1.6187263
0.5784,1.5764211,1.60385,1.6186739
0.5794,1.576378,1.6037937,1.6186218
0.5804,1.5763351,1.6037377,1.61857
0.5814,1.5762924,1.6036819,1.6185183
0.5824,1.5762499,1.6036265,1.618467
0.5834,1.5762076,1.6035712,1.6184158
0.5844,1.5761655,1.6035162,1.6183649
0.5854,1.5761237,1.6034615,1.6183143
0.5864,1.576082,1.603407,1.6182639
0.5874,1.5760405,1.6033528,1.6182137
0.5884,1.5759992,1.6032988,1.6181638
0.5894,1.5759581,1.6032451,1.6181141
0.5904,1.5759172,1.6031916,1.6180646
0.5914,1.5758765,1.6031383,1.6180153
0.5924,1.575836,1.6030853,1.6179663
0.5934,1.5757956,1.6030325,1.6179175
0.5944,1.5757555,1.60298,1.6178689
0.5954,1.5757155,1.6029277,1.6178206
0.5964,1.5756757,1.6028756,1.6177724
0.5974,1.5756361,1.6028238,1.6177245
0.5984,1.5755967,1.6027721,1.6176768
0.5994,1.5755575,1.6027208,1.6176293
0.6,1.575534,1.60269,1.6176009
0.602,1.5754563,1.6025882,1.6175068
0.604,1.5753792,1.6024873,1.6174136
0.606,1.5753029,1.6023873,1.6173212
0.608,1.5752272,1.6022881,1.6172295
0.61,1.5751521,1.6021899,1.6171387
0.612,1.5750778,1.6020924,1.6170487
0.614,1.5750041,1.6019958,1.6169594
0.616,1.574931,1.6019,1.6168709
0.618,1.5748585,1.6018051,1.6167832
0.62,1.5747866,1.6017109,1.6166962
0.622,1.5747154,1.6016176,1.6166099
0.624,1.5746447,1.601525,1.6165243
0.626,1.5745747,1.6014332,1.6164395
0.628,1.5745052,1.6013422,1.6163553
0.63,1.5744363,1.6012519,1.6162718
0.632,1.5743679,1.6011624,1.6161891
0.634,1.5743001,1.6010736,1.6161069
0.636,1.5742329,1.6009855,1.6160255
0.638,1.5741662,1.6008982,1.6159446
0.64,1.5741,1.6008116,1.6158645
0.642,1.5740343,1.6007257,1.6157849
0.644,1.5739691,1.6006404,1.615706
0.646,1.5739045,1.6005559,1.6156277
0.648,1.5738403,1.600472,1.61555
0.65,1.5737767,1.6003888,1.6154728
0.652,1.5737135,1.6003063,1.6153963
0.654,1.5736508,1.6002244,1.6153203
0.656,1.5735886,1.6001431,1.615245
0.658,1.5735268,1.6000625,1.6151701
0.66,1.5734655,1.5999825,1.6150959
0.662,1.5734047,1.5999032,1.6150221
0.664,1.5733442,1.5998244,1.614949
0.666,1.5732843,1.5997463,1.6148763
0.668,1.5732247,1.5996687,1.6148042
0.67,1.5731656,1.5995918,1.6147325
0.672,1.5731069,1.5995154,1.6146614
0.674,1.5730486,1.5994396,1.6145908
0.676,1.5729907,1.5993644,1.6145207
0.678,1.5729333,1.5992898,1.6144511
0.68,1.5728762,1.5992157,1.614382
0.682,1.5728195,1.5991421,1.6143133
0.684,1.5727632,1.5990691,1.6142451
0.686,1.5727073,1.5989966,1.6141774
0.688,1.5726517,1.5989247,1.6141101
0.69,1.5725965,1.5988533,1.6140433
0.692,1.5725417,1.5987824,1.6139769
0.694,1.5724873,1.598712,1.6139109
0.696,1.5724332,1.5986421,1.6138454
0.698,1.5723794,1.5985727,1.6137803
0.7,1.572326,1.5985038,1.6137157
0.702,1.5722729,1.5984354,1.6136514
0.704,1.5722202,1.5983675,1.6135876
0.706,1.5721678,1.5983001,1.6135241
0.708,1.5721157,1.5982331,1.6134611
0.71,1.572064,1.5981666,1.6133984
0.712,1.5720125,1.5981006,1.6133362
0.714,1.5719614,1.598035,1.6132743
0.716,1.5719106,1.5979699,1.6132128
0.718,1.5718601,1.5979052,1.6131516
0.72,1.5718099,1.597841,1.6130909
0.722,1.5717599,1.5977772,1.6130305
0.724,1.5717103,1.5977138,1.6129704
0.726,1.571661,1.5976509,1.6129108
0.728,1.5716119,1.5975883,1.6128514
0.73,1.5715632,1.5975262,1.6127924
0.732,1.5715147,1.5974645,1.6127338
0.734,1.5714665,1.5974032,1.6126755
0.736,1.5714185,1.5973424,1.6126175
0.738,1.5713708,1.5972819,1.6125598
0.74,1.5713234,1.5972218,1.6125025
0.742,1.5712763,1.5971621,1.6124455
0.744,1.5712294,1.5971027,1.6123887
0.746,1.5711827,1.5970438,1.6123324
0.748,1.5711363,1.5969852,1.6122763
0.75,1.5710902,1.596927,1.6122205
0.752,1.5710443,1.5968692,1.612165
0.754,1.5709986,1.5968118,1.6121098
0.756,1.5709532,1.5967547,1.6120549
0.758,1.570908,1.5966979,1.6120003
0.76,1.570863,1.5966415,1.611946
0.762,1.5708183,1.5965855,1.6118919
0.764,1.5707737,1.5965298,1.6118381
0.766,1.5707294,1.5964744,1.6117846
0.768,1.5706854,1.5964194,1.6117314
0.77,1.5706415,1.5963647,1.6116784
0.772,1.5705979,1.5963104,1.6116257
0.774,1.5705544,1.5962564,1.6115733
0.776,1.5705112,1.5962026,1.6115211
0.778,1.5704682,1.5961493,1.6114692
0.78,1.5704253,1.5960962,1.6114175
0.782,1.5703827,1.5960434,1.6113661
0.784,1.5703403,1.595991,1.6113149
0.786,1.5702981,1.5959388,1.6112639
0.788,1.570256,1.595887,1.6112132
0.79,1.5702142,1.5958355,1.6111627
0.792,1.5701725,1.5957842,1.6111125
0.794,1.570131,1.5957333,1.6110624
0.796,1.5700897,1.5956826,1.6110126
0.798,1.5700486,1.5956323,1.6109631
0.8,1.5700077,1.5955822,1.6109137
0.802,1.5699669,1.5955324,1.6108646
0.804,1.5699263,1.5954828,1.6108157
0.806,1.5698859,1.5954336,1.6107669
0.808,1.5698457,1.5953846,1.6107184
0.81,1.5698056,1.5953359,1.6106702
0.812,1.5697657,1.5952874,1.6106221
0.814,1.5697259,1.5952393,1.6105742
0.816,1.5696863,1.5951913,1.6105265
0.818,1.5696469,1.5951437,1.610479
0.82,1.5696076,1.5950963,1.6104317
0.822,1.5695685,1.5950491,1.6103846
0.824,1.5695295,1.5950022,1.6103377
0.826,1.5694907,1.5949556,1.610291
0.828,1.569452,1.5949092,1.6102444
0.83,1.5694135,1.594863,1.6101981
0.832,1.5693751,1.5948171,1.6101519
0.834,1.5693369,1.5947714,1.6101059
0.836,1.5692988,1.5947259,1.6100601
0.838,1.5692608,1.5946807,1.6100144
0.84,1.569223,1.5946357,1.6099689
0.842,1.5691853,1.594591,1.6099236
0.844,1.5691478,1.5945464,1.6098785
0.846,1.5691104,1.5945021,1.6098335
0.848,1.5690731,1.594458,1.6097887
0.85,1.5690359,1.5944142,1.609744
0.852,1.5689989,1.5943705,1.6096995
0.854,1.568962,1.5943271,1.6096552
0.856,1.5689252,1.5942838,1.609611
0.858,1.5688886,1.5942408,1.609567
0.86,1.568852,1.594198,1.6095231
0.862,1.5688156,1.5941554,1.6094794
0.864,1.5687793,1.594113,1.6094358
0.866,1.5687431,1.5940708,1.6093924
0.868,1.5687071,1.5940288,1.6093491
0.87,1.5686711,1.593987,1.6093059
0.872,1.5686353,1.5939454,1.6092629
0.874,1.5685996,1.593904,1.6092201
