# TaAs (dispersive) -- principal refractive index and extinction coefficient
# source: R. Zu, M. Gu, L. Min, C. Hu, N. Ni, Z. Mao, J. M. Rondinelli, V. Gopalan. Comprehensive anisotropic linear optical properties of the Weyl semimetals TaAs and NbAs. Phys. Rev. B 103, 165137 (2021).
# doi: 10.1103/PhysRevB.103.165137   conditions: spectroscopic ellipsometry, room temperature, Lorentz model of Eq. 1
# validity: 0.2066-1.0332 um (the measured window, 1.2-6 eV)
# Lorentz-oscillator model of Eq. 1 with the INFRARED POLE TAKEN NEGATIVE -- the printed plus disagrees with the paper's own Fig. 1 and with the exported case-study registry; see benchmarks/generate_dispersion_tables.py
# generated by benchmarks/generate_dispersion_tables.py
wavelength_um,no,ne,ko,ke
0.4466,3.0506492,3.3521142,2.3280106,2.4675569
0.4476,3.0537309,3.3577747,2.3290019,2.4648476
0.4486,3.0568077,3.3631378,2.329978,2.4620898
0.4496,3.0598793,3.3682101,2.3309391,2.4593166
0.4506,3.0629453,3.3730027,2.3318853,2.4565585
0.4516,3.0660053,3.3775297,2.3328168,2.4538426
0.4526,3.069059,3.3818083,2.3337337,2.451192
0.4536,3.0721061,3.385857,2.3346364,2.4486262
0.4546,3.0751461,3.3896956,2.3355249,2.446161
0.4556,3.0781789,3.3933441,2.3363995,2.4438087
0.4566,3.0812041,3.3968224,2.3372603,2.4415784
0.4576,3.0842214,3.4001496,2.3381076,2.4394761
0.4586,3.0872305,3.4033441,2.3389415,2.4375056
0.4596,3.0902311,3.406423,2.3397622,2.4356685
0.4606,3.0932229,3.4094022,2.34057,2.4339644
0.4616,3.0962058,3.4122962,2.3413651,2.4323919
0.4626,3.0991793,3.4151181,2.3421476,2.430948
0.4636,3.1021434,3.4178795,2.3429178,2.4296293
0.4646,3.1050976,3.420591,2.3436758,2.4284314
0.4656,3.1080419,3.4232616,2.344422,2.4273498
0.4666,3.1109759,3.4258996,2.3451564,2.4263794
0.4676,3.1138995,3.4285117,2.3458794,2.4255153
0.4686,3.1168124,3.4311041,2.3465911,2.4247524
0.4696,3.1197145,3.4336819,2.3472917,2.4240856
0.4706,3.1226054,3.4362496,2.3479816,2.4235103
0.4716,3.1254851,3.4388109,2.3486608,2.4230215
0.4726,3.1283534,3.4413689,2.3493296,2.422615
0.4736,3.13121,3.4439263,2.3499882,2.4222864
0.4746,3.1340548,3.4464852,2.3506369,2.4220319
0.4756,3.1368876,3.4490475,2.3512758,2.4218476
0.4766,3.1397083,3.4516145,2.3519053,2.4217301
0.4776,3.1425167,3.4541875,2.3525254,2.4216763
0.4786,3.1453126,3.4567673,2.3531365,2.4216832
0.4796,3.148096,3.4593548,2.3537387,2.4217482
0.4806,3.1508666,3.4619504,2.3543324,2.4218688
0.4816,3.1536244,3.4645546,2.3549176,2.4220428
