# LiNbO3 (dispersive) -- principal refractive index
# source: D. E. Zelmon, D. L. Small, D. Jundt. Infrared corrected Sellmeier coefficients for congruently grown lithium niobate and 5 mol.% magnesium oxide-doped lithium niobate. J. Opt. Soc. Am. B 14, 3319-3322 (1997).
# doi: 10.1364/JOSAB.14.003319   conditions: congruently grown LiNbO3, 21 C
# validity: 0.4-5 um
# via refractiveindex.info database (CC0): LiNbO3/nk/Zelmon-o.yml, LiNbO3/nk/Zelmon-e.yml
# generated by benchmarks/generate_dispersion_tables.py; max interpolation error vs the closed form 2.2e-06
wavelength_um,no,ne
0.928,2.2418737,2.1639379
0.93,2.2417037,2.1637917
0.932,2.2415346,2.1636462
0.934,2.2413665,2.1635016
0.936,2.2411993,2.1633578
0.938,2.2410331,2.1632148
0.94,2.2408678,2.1630726
0.942,2.2407034,2.1629311
0.944,2.2405399,2.1627905
0.946,2.2403773,2.1626506
0.948,2.2402156,2.1625115
0.95,2.2400548,2.1623731
0.952,2.2398948,2.1622355
0.954,2.2397357,2.1620986
0.956,2.2395775,2.1619625
0.958,2.2394201,2.1618271
0.96,2.2392635,2.1616924
0.962,2.2391078,2.1615584
0.964,2.2389529,2.1614251
0.966,2.2387988,2.1612926
0.968,2.2386455,2.1611607
0.97,2.238493,2.1610295
0.972,2.2383413,2.160899
0.974,2.2381904,2.1607692
0.976,2.2380403,2.1606401
0.978,2.2378909,2.1605116
0.98,2.2377423,2.1603838
0.982,2.2375945,2.1602566
0.984,2.2374474,2.16013
0.986,2.237301,2.1600042
0.988,2.2371554,2.1598789
0.99,2.2370105,2.1597543
0.992,2.2368663,2.1596303
0.994,2.2367229,2.1595069
0.996,2.2365801,2.1593841
0.998,2.2364381,2.1592619
1,2.2362967,2.1591403
1.002,2.2361561,2.1590193
1.004,2.2360161,2.1588989
1.006,2.2358768,2.1587791
1.008,2.2357381,2.1586599
1.01,2.2356002,2.1585412
1.012,2.2354629,2.1584231
1.014,2.2353262,2.1583056
1.016,2.2351902,2.1581886
1.018,2.2350548,2.1580722
1.02,2.2349201,2.1579564
1.022,2.234786,2.157841
1.024,2.2346525,2.1577262
1.026,2.2345196,2.157612
1.028,2.2343874,2.1574983
1.03,2.2342557,2.1573851
1.032,2.2341247,2.1572724
1.034,2.2339942,2.1571602
1.036,2.2338644,2.1570485
1.038,2.2337351,2.1569374
1.04,2.2336064,2.1568267
1.042,2.2334783,2.1567166
1.044,2.2333508,2.1566069
1.046,2.2332238,2.1564978
1.048,2.2330974,2.1563891
1.05,2.2329715,2.1562809
1.052,2.2328462,2.1561731
1.054,2.2327214,2.1560659
1.056,2.2325972,2.1559591
1.058,2.2324735,2.1558527
1.06,2.2323504,2.1557469
1.062,2.2322277,2.1556414
1.064,2.2321056,2.1555365
1.066,2.231984,2.155432
1.068,2.2318629,2.1553279
1.07,2.2317424,2.1552242
1.072,2.2316223,2.1551211
1.074,2.2315028,2.1550183
1.076,2.2313837,2.1549159
1.078,2.2312651,2.154814
1.08,2.231147,2.1547125
1.082,2.2310294,2.1546115
1.084,2.2309123,2.1545108
1.086,2.2307956,2.1544106
1.088,2.2306794,2.1543107
1.09,2.2305637,2.1542113
1.092,2.2304485,2.1541122
1.094,2.2303337,2.1540136
1.096,2.2302194,2.1539154
1.098,2.2301055,2.1538175
1.1,2.229992,2.15372
1.102,2.229879,2.1536229
1.104,2.2297665,2.1535262
1.106,2.2296544,2.1534299
1.108,2.2295427,2.153334
1.11,2.2294314,2.1532384
1.112,2.2293206,2.1531432
1.114,2.2292102,2.1530483
1.116,2.2291002,2.1529538
1.118,2.2289906,2.1528597
1.12,2.2288814,2.1527659
1.122,2.2287726,2.1526725
1.124,2.2286643,2.1525794
1.126,2.2285563,2.1524867
1.128,2.2284488,2.1523943
1.13,2.2283416,2.1523023
1.132,2.2282348,2.1522106
1.134,2.2281284,2.1521192
1.136,2.2280224,2.1520282
1.138,2.2279168,2.1519375
1.14,2.2278115,2.1518471
1.142,2.2277067,2.151757
1.144,2.2276022,2.1516673
1.146,2.227498,2.1515779
1.148,2.2273943,2.1514888
1.15,2.2272909,2.1514
1.152,2.2271878,2.1513115
1.154,2.2270851,2.1512234
1.156,2.2269828,2.1511355
1.158,2.2268808,2.151048
1.16,2.2267792,2.1509607
1.162,2.2266779,2.1508738
1.164,2.2265769,2.1507871
1.166,2.2264763,2.1507007
1.168,2.226376,2.1506147
1.17,2.2262761,2.1505289
1.172,2.2261765,2.1504434
1.174,2.2260772,2.1503582
1.176,2.2259782,2.1502733
1.178,2.2258796,2.1501886
1.18,2.2257813,2.1501042
1.182,2.2256833,2.1500201
1.184,2.2255856,2.1499363
1.186,2.2254882,2.1498528
1.188,2.2253911,2.1497695
1.19,2.2252944,2.1496865
1.192,2.2251979,2.1496037
1.194,2.2251018,2.1495212
1.196,2.2250059,2.149439
1.198,2.2249104,2.149357
1.2,2.2248151,2.1492753
1.202,2.2247202,2.1491939
1.204,2.2246255,2.1491126
1.206,2.2245311,2.1490317
1.208,2.224437,2.148951
1.21,2.2243432,2.1488705
1.212,2.2242496,2.1487903
1.214,2.2241564,2.1487103
1.216,2.2240634,2.1486306
1.218,2.2239707,2.1485511
1.22,2.2238782,2.1484718
1.222,2.2237861,2.1483928
1.224,2.2236942,2.148314
1.226,2.2236025,2.1482354
1.228,2.2235112,2.148157
1.23,2.2234201,2.1480789
1.232,2.2233292,2.148001
1.234,2.2232386,2.1479234
1.236,2.2231483,2.1478459
1.238,2.2230582,2.1477687
1.24,2.2229683,2.1476917
1.242,2.2228787,2.1476149
1.244,2.2227894,2.1475383
1.246,2.2227003,2.147462
1.248,2.2226115,2.1473858
1.25,2.2225228,2.1473099
1.252,2.2224345,2.1472341
1.254,2.2223463,2.1471586
1.256,2.2222584,2.1470833
1.258,2.2221707,2.1470081
1.26,2.2220833,2.1469332
1.262,2.2219961,2.1468585
1.264,2.2219091,2.146784
1.266,2.2218224,2.1467096
1.268,2.2217358,2.1466355
1.27,2.2216495,2.1465616
1.272,2.2215634,2.1464878
